cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
265,7641,4,4,0,6311,0.967445,0.019407,0.058529,0.001092,0.029303,1.0000
266,7651,13,13,0,6324,0.966934,0.019734,0.057954,0.001257,0.029251,1.0000
267,7661,6,6,0,6330,0.967252,0.019529,0.057793,0.001107,0.029489,1.0000
268,7671,10,10,0,6340,0.966922,0.019743,0.057328,0.001153,0.029638,1.0000
269,7681,9,9,0,6349,0.966957,0.019725,0.057043,0.001147,0.029828,1.0000
270,7691,9,9,0,6358,0.966915,0.019745,0.056736,0.001142,0.029989,1.0000
271,7701,5,5,0,6363,0.966859,0.019785,0.056424,0.000988,0.030270,1.0000
272,7711,11,11,0,6374,0.966453,0.020039,0.055947,0.001105,0.030304,1.0000
273,7721,7,7,0,6381,0.966575,0.019965,0.055706,0.001037,0.030355,1.0000
274,7731,12,12,0,6393,0.966367,0.020084,0.055305,0.001176,0.030292,1.0000
275,7741,8,8,0,6401,0.966582,0.019951,0.055145,0.001123,0.030544,1.0000
276,7751,12,12,0,6413,0.966427,0.020058,0.054840,0.001235,0.030388,1.0000
277,7761,12,12,0,6425,0.966653,0.019910,0.054634,0.001313,0.030110,1.0000
278,7771,8,8,0,6433,0.966863,0.019782,0.054444,0.001217,0.030058,1.0000
279,7781,9,9,0,6442,0.966725,0.019870,0.054056,0.001188,0.030085,1.0000
280,7791,6,6,0,6448,0.966705,0.019863,0.053681,0.001055,0.030285,1.0000
281,7801,12,12,0,6460,0.966387,0.020066,0.053211,0.001184,0.030335,1.0000
282,7811,11,11,0,6471,0.966600,0.019933,0.052967,0.001237,0.030118,1.0000
283,7821,8,8,0,6479,0.966715,0.019869,0.052722,0.001163,0.030070,1.0000
284,7831,11,11,0,6490,0.966561,0.019975,0.052346,0.001221,0.029979,1.0000
285,7841,13,13,0,6503,0.966707,0.019873,0.052111,0.001336,0.029892,1.0000
286,7851,8,8,0,6511,0.967022,0.019665,0.051949,0.001231,0.029777,1.0000
287,7861,7,7,0,6518,0.966871,0.019770,0.051602,0.001120,0.029942,1.0000
288,7871,8,8,0,6526,0.966650,0.019906,0.051214,0.001079,0.030039,1.0000
289,7881,5,5,0,6531,0.966516,0.019988,0.050822,0.000939,0.030272,1.0000
290,7891,8,8,0,6539,0.966109,0.020248,0.050362,0.000951,0.030079,1.0000
291,7901,10,10,0,6549,0.965954,0.020358,0.050063,0.001033,0.030261,1.0000
292,7911,6,6,0,6555,0.965996,0.020331,0.049822,0.000943,0.030422,1.0000
293,7921,6,6,0,6561,0.965668,0.020549,0.049412,0.000879,0.030670,1.0000
294,7931,5,5,0,6566,0.965340,0.020768,0.049040,0.000798,0.030951,1.0000
